chunk_id	status	filename	rows_approx	upload_url	notes
0109	UPLOADED	expr_part_0109of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0109of0270.tsv.gz	upload_confirmed
0110	UPLOADED	expr_part_0110of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0110of0270.tsv.gz	upload_confirmed
0111	UPLOADED	expr_part_0111of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0111of0270.tsv.gz	upload_confirmed
0112	UPLOADED	expr_part_0112of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0112of0270.tsv.gz	upload_confirmed
0113	UPLOADED	expr_part_0113of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0113of0270.tsv.gz	upload_confirmed
0114	UPLOADED	expr_part_0114of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0114of0270.tsv.gz	upload_confirmed
0115	UPLOADED	expr_part_0115of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0115of0270.tsv.gz	upload_confirmed
0116	UPLOADED	expr_part_0116of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0116of0270.tsv.gz	upload_confirmed
0117	UPLOADED	expr_part_0117of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0117of0270.tsv.gz	upload_confirmed
0118	UPLOADED	expr_part_0118of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0118of0270.tsv.gz	upload_confirmed
0119	UPLOADED	expr_part_0119of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0119of0270.tsv.gz	upload_confirmed
0120	UPLOADED	expr_part_0120of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0120of0270.tsv.gz	upload_confirmed
0121	UPLOADED	expr_part_0121of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0121of0270.tsv.gz	upload_confirmed
0122	UPLOADED	expr_part_0122of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0122of0270.tsv.gz	upload_confirmed
0123	UPLOADED	expr_part_0123of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0123of0270.tsv.gz	upload_confirmed
0124	UPLOADED	expr_part_0124of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0124of0270.tsv.gz	upload_confirmed
0125	UPLOADED	expr_part_0125of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0125of0270.tsv.gz	upload_confirmed
0126	UPLOADED	expr_part_0126of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0126of0270.tsv.gz	upload_confirmed
0127	UPLOADED	expr_part_0127of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0127of0270.tsv.gz	upload_confirmed
0128	UPLOADED	expr_part_0128of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0128of0270.tsv.gz	upload_confirmed
0129	UPLOADED	expr_part_0129of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0129of0270.tsv.gz	upload_confirmed
0130	UPLOADED	expr_part_0130of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0130of0270.tsv.gz	upload_confirmed
0131	UPLOADED	expr_part_0131of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0131of0270.tsv.gz	upload_confirmed
0132	UPLOADED	expr_part_0132of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0132of0270.tsv.gz	upload_confirmed
0133	UPLOADED	expr_part_0133of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0133of0270.tsv.gz	upload_confirmed
0134	UPLOADED	expr_part_0134of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0134of0270.tsv.gz	upload_confirmed
0135	UPLOADED	expr_part_0135of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0135of0270.tsv.gz	upload_confirmed
0136	UPLOADED	expr_part_0136of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0136of0270.tsv.gz	upload_confirmed
0137	UPLOADED	expr_part_0137of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0137of0270.tsv.gz	upload_confirmed
0138	UPLOADED	expr_part_0138of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0138of0270.tsv.gz	upload_confirmed
0139	UPLOADED	expr_part_0139of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0139of0270.tsv.gz	upload_confirmed
0140	UPLOADED	expr_part_0140of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0140of0270.tsv.gz	upload_confirmed
0141	UPLOADED	expr_part_0141of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0141of0270.tsv.gz	upload_confirmed
0142	UPLOADED	expr_part_0142of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0142of0270.tsv.gz	upload_confirmed
0143	UPLOADED	expr_part_0143of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0143of0270.tsv.gz	upload_confirmed
0144	UPLOADED	expr_part_0144of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0144of0270.tsv.gz	upload_confirmed
0145	UPLOADED	expr_part_0145of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0145of0270.tsv.gz	upload_confirmed
0146	UPLOADED	expr_part_0146of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0146of0270.tsv.gz	upload_confirmed
0147	UPLOADED	expr_part_0147of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0147of0270.tsv.gz	upload_confirmed
0148	UPLOADED	expr_part_0148of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0148of0270.tsv.gz	upload_confirmed
0149	UPLOADED	expr_part_0149of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0149of0270.tsv.gz	upload_confirmed
0150	UPLOADED	expr_part_0150of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0150of0270.tsv.gz	upload_confirmed
0151	UPLOADED	expr_part_0151of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0151of0270.tsv.gz	upload_confirmed
0152	UPLOADED	expr_part_0152of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0152of0270.tsv.gz	upload_confirmed
0153	UPLOADED	expr_part_0153of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0153of0270.tsv.gz	upload_confirmed
0154	UPLOADED	expr_part_0154of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0154of0270.tsv.gz	upload_confirmed
0155	UPLOADED	expr_part_0155of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0155of0270.tsv.gz	upload_confirmed
0156	UPLOADED	expr_part_0156of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0156of0270.tsv.gz	upload_confirmed
0157	UPLOADED	expr_part_0157of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0157of0270.tsv.gz	upload_confirmed
0158	UPLOADED	expr_part_0158of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0158of0270.tsv.gz	upload_confirmed
0159	UPLOADED	expr_part_0159of0270.tsv.gz	532099	https://storage.base44.com/expr_chunks/expr_part_0159of0270.tsv.gz	upload_confirmed
